,"Interest Expense, % of GDP",GS Forecast,"Real Interest Expense, % of GDP",GS Forecast,,,Actual,3% Interest Rate Scenario,5% Interest Rate Scenario,axis,4% Interest Rate (GS Baseline),2% Interest Rate Scenario,3% Interest Rate Scenario,5% Interest Rate Scenario,4% Interest Rate (GS Baseline)
1941,0.8,,-1.8,,,1941.0,,,,,,,,,
1942,0.7,,-2.2,,,1942.0,41.5,,,,,,,,
1943,0.8,,-1.1,,,1943.0,45.9,,,,,,,,
1944,1.0,,-2.1,,,1944.0,69.2,,,,,,,,
1945,1.4,,-2.9,,,1945.0,86.4,,,,,,,,
1946,1.8,,-3.6,,,1946.0,103.9,,,,,,,,
1947,1.8,,-4.7,,,1947.0,106.1,,,,,,,,
1948,1.7,,-3.5,,,1948.0,93.9,,,,,,,,
1949,1.6,,1.7,,,1949.0,82.4,,,,,,,,
1950,1.7,,1.0,,,1950.0,77.4,,,,,,,,
1951,1.4,,-3.4,,,1951.0,78.5,,,,,,,,
1952,1.3,,0.0,,,1952.0,65.5,,,,,,,,
1953,1.3,,0.6,,,1953.0,60.1,,,,,,,,
1954,1.2,,0.7,,,1954.0,57.1,,,,,,,,
1955,1.2,,0.4,,,1955.0,57.9,,,,,,,,
1956,1.2,,-0.7,,,1956.0,55.7,,,,,,,,
1957,1.2,,-0.6,,,1957.0,50.6,,,,,,,,
1958,1.2,,0.1,,,1958.0,47.2,,,,,,,,
1959,1.1,,0.5,,,1959.0,47.7,,,,,,,,
1960,1.3,,0.7,,,1960.0,46.4,,,,,,,,
1961,1.2,,0.8,,,1961.0,44.3,,,,,,,,
1962,1.2,,0.7,,,1962.0,43.5,,,,,,,,
1963,1.3,,0.8,,,1963.0,42.3,,,,,,,,
1964,1.2,,0.6,,,1964.0,41.1,,,,,,,,
1965,1.2,,0.5,,,1965.0,38.8,,,,,,,,
1966,1.2,,0.2,,,1966.0,36.8,,,,,,,,
1967,1.2,,0.3,,,1967.0,33.8,,,,,,,,
1968,1.2,,-0.1,,,1968.0,31.9,,,,,,,,
1969,1.3,,-0.2,,,1969.0,32.3,,,,,,,,
1970,1.4,,-0.1,,,1970.0,28.4,,,,,,,,
1971,1.3,,0.0,,,1971.0,27.1,,,,,,,,
1972,1.3,,0.1,,,1972.0,27.1,,,,,,,,
1973,1.3,,-0.1,,,1973.0,26.5,,,,,,,,
1974,1.4,,-0.8,,,1974.0,25.2,,,,,,,,
1975,1.4,,-0.7,,,1975.0,23.2,,,,,,,,
1976,1.5,,0.2,,,1976.0,24.6,,,,,,,,
1977,1.5,,-0.1,,,1977.0,26.7,,,,,,,,
1978,1.6,,-0.3,,,1978.0,27.1,,,,,,,,
1979,1.7,,-0.5,,,1979.0,26.7,,,,,,,,
1980,1.9,,-0.4,,,1980.0,25,,,,,,,,
1981,2.2,,-0.2,,,1981.0,25.5,,,,,,,,
1982,2.6,,1.0,,,1982.0,25.2,,,,,,,,
1983,2.5,,1.5,,,1983.0,27.9,,,,,,,,
1984,2.8,,1.7,,,1984.0,32.2,,,,,,,,
1985,3.0,,2.0,,,1985.0,33.1,,,,,,,,
1986,3.0,,2.3,,,1986.0,35.3,,,,,,,,
1987,2.9,,2.0,,,1987.0,38.5,,,,,,,,
1988,3.0,,1.6,,,1988.0,39.6,,,,,,,,
1989,3.0,,1.5,,,1989.0,39.9,,,,,,,,
1990,3.1,,1.7,,,1990.0,39.4,,,,,,,,
1991,3.2,,1.8,,,1991.0,40.9,,,,,,,,
1992,3.1,,2.1,,,1992.0,44.1,,,,,,,,
1993,2.9,,1.9,,,1993.0,46.8,,,,,,,,
1994,2.8,,1.8,,,1994.0,47.9,,,,,,,,
1995,3.1,,2.1,,,1995.0,47.8,,,,,,,,
1996,3.0,,2.2,,,1996.0,47.7,,,,,,,,
1997,2.9,,2.1,,,1997.0,47,,,,,,,,
1998,2.7,,2.2,,,1998.0,44.6,,,,,,,,
1999,2.4,,1.9,,,1999.0,41.7,,,,,,,,
2000,2.2,,1.4,,,2000.0,38.3,,,,,,,,
2001,2.0,,1.2,,,2001.0,33.7,,,,,,,,
2002,1.6,,1.1,,,2002.0,31.5,,,,,,,,
2003,1.4,,0.8,,,2003.0,32.7,,,,,,,,
2004,1.3,,0.4,,,2004.0,34.7,,,,,,,,
2005,1.4,,0.4,,,2005.0,35.7,,,,,,,,
2006,1.7,,0.6,,,2006.0,35.8,,,,,,,,
2007,1.7,,0.7,,,2007.0,35.4,,,,,,,,
2008,1.7,,1.0,,,2008.0,35.2,,,,,,,,
2009,1.3,,1.0,,,2009.0,39.2,,,,,,,,
2010,1.3,,0.7,,,2010.0,52.2,,,,,,,,
2011,1.5,,0.2,,,2011.0,60.6,,,,,,,,
2012,1.4,,0.1,,,2012.0,65.5,,,,,,,,
2013,1.3,,0.1,,,2013.0,70,,,,,,,,
2014,1.3,,0.0,,,2014.0,71.8,,,,,,,,
2015,1.2,,0.6,,,2015.0,73.3,,,,,,,,
2016,1.3,,0.5,,,2016.0,72.2,,,,,,,,
2017,1.4,,-0.1,,,2017.0,76,,,,,,,,
2018,1.6,,-0.2,,,2018.0,75.7,,,,,,,,
2019,1.8,,0.4,,,2019.0,77.1,,,,,,,,
2020,1.6,1.6,0.7,0.7,,2020.0,79,,,,,,,,
2021,,1.7,,-0.1,,2021.0,98.7,,,,,,,,
2022,,1.7,,0.0,,2022.0,97.2,,,,,,,,
2023,,1.8,,-0.5,,2023.0,95.8,,,,,,,,
2024,,1.9,,-0.6,,2024.0,97.8,97.8,,,97.8,97.8,,,
2025,,2.0,,-0.1,,2025.0,,99.4,99.4,,99.4,99.4,,,
2026,,2.1,,0.0,,2026.0,,100.4,100.6,,100.5,100.2,,,
2027,,2.2,,0.0,,2027.0,,101.9,102.7,,102.3,101.4,,,
2028,,2.2,,0.1,,2028.0,,103.7,105.4,,104.6,102.9,,,
2029,,2.2,,0.1,,2029.0,,105.8,108.6,,107.2,104.4,,,
2030,,2.3,,0.1,,2030.0,,107.8,112.0,,109.9,105.7,,,
2031,,2.3,,0.2,,2031.0,,109.7,115.8,,112.7,106.8,,,
2032,,2.3,,0.2,,2032.0,,111.7,120.0,,115.8,107.7,,,
2033,,2.4,,0.2,,2033.0,,113.7,124.2,,118.8,108.7,,,
2034,,2.4,,0.3,,2034.0,,115.6207505,128.5,,121.9,109.6,,,
2035,,2.4,,0.3,,2035.0,,117.5914154,132.9485773,,125.0481316,110.5454764,,,
2036,,2.4,,0.3,,2036.0,,119.5677532,137.46451,,128.2158319,111.4740264,,,
2037,,2.5,,0.3,,2037.0,,121.5504035,142.0882136,,131.426142,112.3964746,,,
2038,,2.5,,0.3,,2038.0,,123.5400368,146.8268806,,134.6818688,113.3125395,,,
2039,,2.5,,0.3,,2039.0,,125.5373833,151.6877438,,137.9857625,114.2221976,,,
2040,,2.5,,0.3,,2040.0,,127.5432019,156.6779452,,141.340445,115.1256656,,,
2041,,,,,,2041.0,,,,,,,,,